"unique_ID"	"long_cite"	"short_cite"	"peer_reviewed"	"pubtype"	"contributor"	"expt_num"	"expt_condition"	"unique_exp"	"pair"	"same_infant"	"unique_exp_noRM"	"pair_noRM"	"native_lang"	"infant_type"	"n_1"	"mean_age_1"	"age_range_1"	"n_excluded_1"	"gender_1"	"response_mode"	"exposure_phase"	"method"	"dependent_measure"	"participant_design"	"contrast_type"	"contrast"	"fillers"	"exposure.details"	"test.details"	"values_how"	"x_1_NA_hab"	"SD_1"	"x_2_Alt_dishab"	"SD_2"	"corr"	"corrgroup"	"t"	"F"	"df"	"pval_cond"	"pval_cond_collapsed"	"t_expo"	"F_expo"	"df_expo"	"pval_expo"	"pval_expo_collapsed"	"Comments"	"Year"	"Lab"	"test_lang"	"group_name_1"	"group_name_2"	"n_2"	"mean_age_2"	"age_range_2"	"n_excluded_2"	"d"	"d_var"	"test_lang.1"	"gender_2"	"num_trials"	"mean_vocab"	"procedure_secondary"	"corr.imp"	"EffectSize"	"Formulas.used"	"ES.SE"	"ES.w"	"ES.type"	"SDpooled"	"out"	"age_c"	"year_c"	"ABS_EffectSize"	"pval_cond_check"	"pval_expo_check"	"t_rec_cond"	"p_rec_cond"	"exposure"
1048	"Capel, D. J. H., De Bree, E. H., De Klerk, M. A., Kerkhoff, A. O., and Wijnen, F. N. K. (2011). Distributional cues affect phonetic discrimination in Dutch infants. Sound and sounds. Studies presented to MEH (Bert) Schouten on the occasion of his 65th birthday. Utrecht: UiL-OTS, 33-43."	"Capel 2011"	"no"	"chapter"	"Cristia_Alex"	NA	"bimodal"	"Capel 2011 B"	"Capel 2011 U"	NA	"Capel 2011 B"	"Capel 2011 U"	"Dutch"	"standard"	27	333	62	22	0.41	"eye-tracking"	"habituation"	"CF"	"lookingTime"	"within_two"	"consonant"	"Hindi voiced vs voiceless retroflex stop +a"	0	"4 natural * 8 steps = 32 unique types repeated 8-32 times for a total of 128 tokens, ISI 1s"	"habituation with 4 tokens step 6 in continuum (max trial 60s), moving window of 3 trials, criterion 65% of first 3 trials. Then present 2 change trials using tokens from step 3. Compared 2 last hab trials against the 2 change trials. Posttest with \bupoki\. \In those cases where no longer looking times were found for the dishabituation trials compared to the final two habituation trials, the exclusion criterion was that neither longer looking times were found for the post-test trial compared to the dishabituation trials. If looking times to the post-test were shorter than, or equally long as, the dishabituation trials, then the lack of difference between habituation and dishabituation looking times could be attributed to general unresponsiveness. However, none of the infants had to be excluded for this reason\"	"in_text"	4.686	2.753	6.286	3.901	NA	"hab"	2.279	NA	"26"	0.031	"no"	NA	NA	NA	NA	NA	"exclusion criteria bimodal:\4        both change trial <2s ; 3        outlier    ;2        post-test failed        ;2        technical error        ; 3        no hab in 25 trials ; 5        fussing/crying        ; 2        not in age group     ; 1        parental interference\"	2011	"Capel"	"artificial"	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	0.736739987	0.517299061750996	"L&W function in table B formula 10.1 for pooled SD; L&W 3.21 for ES, L&W formula 3.22 to unbias (with N1 + N2), L&W 3.23 for SE, L&W 3.24 for weight"	0.265621571796962	14.1733762264423	1	3.35541552712166	0	109.495646511628	0.674418604651237	0.459551278971453	0.0307927074559984	NA	1.94750395553873	0.0619430381649135	"bim"
1050	"Fennell, C. T., Hudon, T. and Spring, M., (2012). Distributional learning of phonemes in monolingual and bilingual infants., Minneapolis, USA, 18th Biennial International Conference on Infant Studies"	"Fennell 2012"	"no"	"conference"	"Cristia_Alex"	NA	"bimodal"	"Fennell 2012 B"	"Fennell 2012 U"	NA	"Fennell 2012 B"	"Fennell 2012 U"	"CanE"	"standard"	15.5	214.461	64.7946	NA	NA	"eye-tracking"	"familiarization"	"CF"	"lookingTime"	"within_two"	"consonant"	"Turkish voiced vs voiceless palatal affricate+a"	0	"120 target tokens forming a unimodal or bimodal continuum (11 steps x frequency between 5 and 25) and 36 filler tokens (/ma, /la/) "	"our alternating trials (tokens 4 and 11) and four non-alternating trials (token 6 or 9 repeated) while watching a checkerboard pattern. All trials were 12.5 seconds. A and NA alternated and were counterbalanced across kids"	"from_graph"	5.823529412	2.344833227	7.411764706	2.605370252	NA	"fam"	NA	6.56	"46"	0.01	"exposure, language"	NA	4.89	"46"	0.03	"language"	"please note that N of participants is not given by condition"	2012	"Fennell"	"artificial"	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	0.736739987	0.456241037713855	"L&W function in table B formula 10.1 for pooled SD; L&W 3.21 for ES, L&W formula 3.22 to unbias (with N1 + N2), L&W 3.23 for SE, L&W 3.24 for weight"	0.363853831971342	7.55346278414648	1	2.54273992537887	0	-9.04335348837208	1.67441860465124	0.604526353080109	NA	NA	1.25391296620944	0.228456108315276	"bim"
1050	"Fennell, C. T., Hudon, T. and Spring, M., (2012). Distributional learning of phonemes in monolingual and bilingual infants., Minneapolis, USA, 18th Biennial International Conference on Infant Studies"	"Fennell 2012"	"no"	"conference"	"Cristia_Alex"	NA	"bimodal"	"Fennell 2012 B bil"	"Fennell 2012 U bil"	NA	"Fennell 2012 B bil"	"Fennell 2012 U bil"	"CanE+CanFr"	"bilingual"	9.5	214.461	64.7946	NA	NA	"eye-tracking"	"familiarization"	"CF"	"lookingTime"	"within_two"	"consonant"	"Turkish voiced vs voiceless palatal affricate+a"	0	"120 target tokens forming a unimodal or bimodal continuum (11 steps x frequency between 5 and 25) and 36 filler tokens (/ma, /la/) "	"our alternating trials (tokens 4 and 11) and four non-alternating trials (token 6 or 9 repeated) while watching a checkerboard pattern. All trials were 12.5 seconds. A and NA alternated and were counterbalanced across kids"	"from_graph"	5.294117647	2.03969581	6.352941176	2.03969581	NA	"fam"	NA	NA	"see above"	NA	NA	NA	NA	"see above"	NA	NA	"please note that N of participants is not given by condition"	2012	"Fennell"	"artificial"	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	0.736739987	0.568611323869283	"L&W function in table B formula 10.1 for pooled SD; L&W 3.21 for ES, L&W formula 3.22 to unbias (with N1 + N2), L&W 3.23 for SE, L&W 3.24 for weight"	0.468011438165227	4.56548652542179	1	2.00108608883567	0	-9.04335348837208	1.67441860465124	0.465407663156772	NA	NA	1.21495176720134	0.253717367828895	"bim"
1046	"Liu, L., and Kager, R. (2011). How Do Statistical Learning and Perceptual Reorganization Alter Dutch Infant<e2><80><99>s Perception to Lexical Tones? In ICPhS (Vol. 17, pp. 1270<e2><80><93>1273)."	"Liu 2011"	"no"	"proceeding"	"Cristia_Alex"	NA	"bimodal"	"Liu 2011 B 11m"	"Liu 2011 U 11m"	NA	"Liu 2011 B 11m"	"Liu 2011 U 11m"	"Dutch"	"standard"	14	349.83	NA	6.333333333	NA	"eye-tracking"	"habituation"	"CF"	"lookingTime"	"within_two"	"tone"	"T1-T4"	0	"no details provided but see Liu and Kager 2014 since it's probably the same"	"habituation with 1 token step 6, trial duration not given, criterion and window not given. Then present 2 change trials using tokens from step 3. Compared 2 last hab trials against the 2 change trials. Posttest not mentioned"	"authors_value"	4.001	1.585	6.522	3.024	-0.246	"hab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"exclusion criteria combining all 6 groups: age too young (2) or too old (4); crying (3) or fussing (4); failure to habituate after 25 trials in the habituation phase (5); too short looking time (LT<2s) on both change trials (5) ; dishabituation that differed by more than 2 standard deviations (SD) from the mean of their familiarization condition (uni- or bimodal) (5); LT not reaching 60% of the total LT in the familiarization phase (9)."	2011	"Kager"	"artificial"	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	-0.246	1.25023609061644	"L&W function in table B formula 10.1 for pooled SD; L&W 3.21 for ES, L&W formula 3.22 to unbias (with N1 + N2), L&W 3.23 for SE, L&W 3.24 for weight"	0.413242627673412	5.85584767549109	1	2.25899081450102	0	126.325646511628	0.674418604651237	0.977581492258441	NA	NA	3.02542866319325	0.00908188771758622	"bim"
1046	"Liu, L., and Kager, R. (2011). How Do Statistical Learning and Perceptual Reorganization Alter Dutch Infant<e2><80><99>s Perception to Lexical Tones? In ICPhS (Vol. 17, pp. 1270<e2><80><93>1273)."	"Liu 2011"	"no"	"proceeding"	"Cristia_Alex"	NA	"bimodal"	"Liu 2011 B 5m"	"Liu 2011 U 5m"	NA	"Liu 2011 B 5m"	"Liu 2011 U 5m"	"Dutch"	"standard"	14	167.31	NA	6.333333333	NA	"eye-tracking"	"habituation"	"CF"	"lookingTime"	"within_two"	"tone"	"T1-T4"	0	"no details provided but see Liu and Kager 2014 since it's probably the same"	"habituation with 1 token step 6, trial duration not given, criterion and window not given. Then present 2 change trials using tokens from step 3. Compared 2 last hab trials against the 2 change trials. Posttest not mentioned"	"authors_value"	7.184	5.359	8.717	4.36	0.252	"hab"	NA	NA	"see above"	NA	NA	NA	NA	NA	NA	NA	"exclusion criteria combining all 6 groups: age too young (2) or too old (4); crying (3) or fussing (4); failure to habituate after 25 trials in the habituation phase (5); too short looking time (LT<2s) on both change trials (5) ; dishabituation that differed by more than 2 standard deviations (SD) from the mean of their familiarization condition (uni- or bimodal) (5); LT not reaching 60% of the total LT in the familiarization phase (9)."	2011	"Kager"	"artificial"	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	0.252	-0.396933901676244	"L&W function in table B formula 10.1 for pooled SD; L&W 3.21 for ES, L&W formula 3.22 to unbias (with N1 + N2), L&W 3.23 for SE, L&W 3.24 for weight"	0.381668248854849	6.86480073376328	1	4.64482704198983	0	-56.1943534883721	0.674418604651237	0.293780634749122	NA	NA	-1.03999717782969	0.31596971160378	"bim"
1036	"Liu L, Kager R.Perception of tones by infants learning a non-tone language.Cognition. 2014 Nov;133(2):385-94. doi: 10.1016/j.cognition.2014.06.004. Epub 2014 Aug 14."	"Liu 2014"	"yes"	"journal"	"Cristia_Alex"	"exp3"	"bimodal"	"Liu 2014 B"	"Liu 2014 U"	NA	"Liu 2014 B"	"Liu 2014 U"	"Dutch"	"standard"	16	349.83	NA	5.5	NA	"eye-tracking"	"habituation"	"CF"	"lookingTime"	"within_two"	"tone"	"T1-T4"	0	"1 base syllable * 8 steps repeated 8-32 times for a total of 128 tokens"	"habituation with 1 token step 6, trial duration not given, criterion and window not given. Then present 2 change trials using tokens from step 3. Compared 2 last hab trials against the 2 change trials. Posttest not mentioned"	"from_graph"	4	1.6	6.545454545	3.054545455	NA	"hab"	NA	NA	NA	0.016	"no"	NA	7.019	"30"	0.013	"no"	"exclusion criteria for both conditions: fussing (6); failure to habituate after 25 trials in the habituation phase (1); too short looking time (<2 s) on both change trials (2); looking time differed by more than 2 SD from the mean in the phase change (1); parental interfer- ence (1). "	2014	"Kager"	"artificial"	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	0.769299924	1.27472976139829	"L&W function in table B formula 10.1 for pooled SD; L&W 3.21 for ES, L&W formula 3.22 to unbias (with N1 + N2), L&W 3.23 for SE, L&W 3.24 for weight"	0.387801011405063	6.6493948879686	1	2.28020587743684	0	126.325646511628	3.67441860465124	0.987019067903807	NA	NA	3.28707178142662	0.00464405960198944	"bim"
1039	"Maye J, Werker JF, Gerken L.Infant sensitivity to distributional information can affect phonetic discrimination.Cognition. 2002 Jan;82(3):B101-11."	"Maye 2002"	"yes"	"journal"	"Cristia_Alex"	NA	"bimodal"	"Maye 2002 B 6mo"	"Maye 2002 U 6mo"	NA	"Maye 2002 B 6mo"	"Maye 2002 U 6mo"	"AmE"	"standard"	12	198.52	38.42	3	0.5	"eye-tracking"	"familiarization"	"CF"	"lookingTime"	"within_two"	"consonant"	"ta-tha"	1	"8 steps * 1 natural syllable = 8 tokens; each repeated 4-16 times for a total of 64 tokens + 8 fillers * repeated 4x"	"eight test trials. Test trials were ordered such that every other trial was Alternating (and vice versa), with order counterbalanced in each group. On each test trial, infants heard a string of eight stimuli with an ISI of 1 s, for a total length of 11 s per trial. On half of the Non-Alternating trials the repeated stimulus was Token 3 from the experimental continuum, while on the other Non- Alternating trials it was Token 6. On the remaining four test trials, infants heard an alternation between the two endpoint stimuli, Tokens 1 and 8. "	"in_text"	6.41	1.108512517	5.66	1.524204711	NA	"fam"	2.273	NA	"23"	0.04	"ages"	NA	3.629	"44"	0.063	"ages"	"Exclusion criteria for all 4 groups combined: failure to meet language requirements (n 1<e2><81><84>4 5), crying (n 1<e2><81><84>4 2), inattention to the visual stimulus (n 1<e2><81><84>4 2), equipment failure (n 1<e2><81><84>4 1), experimenter error (n 1<e2><81><84>4 1), and parental interference (n 1<e2><81><84>4 1)."	2002	"Maye"	"artificial"	NA	NA	NA	NA	NA	NA	NA	NA	"artificial"	NA	NA	NA	NA	0.736739987	-0.676663380878185	"L&W function in table B formula 10.1 for pooled SD; L&W 3.21 for ES, L&W formula 3.22 to unbias (with N1 + N2), L&W 3.23 for SE, L&W 3.24 for weight"	0.419768620070964	5.67518548947136	1	1.52676127816328	0	-24.9843534883721	-8.32558139534876	0.519490579388391	0.0422087020167197	NA	-1.61199134123887	0.132937009413861	"bim"
1039	"Maye J, Werker JF, Gerken L.Infant sensitivity to distributional information can affect phonetic discrimination.Cognition. 2002 Jan;82(3):B101-11."	"Maye 2002"	"yes"	"journal"	"Cristia_Alex"	NA	"bimodal"	"Maye 2002 B 8mo"	"Maye 2002 U 8mo"	NA	"Maye 2002 B 8mo"	"Maye 2002 U 8mo"	"AmE"	"standard"	12	245.36	58.84	3	0.5	"eye-tracking"	"familiarization"	"CF"	"lookingTime"	"within_two"	"consonant"	"ta-tha"	1	"8 steps * 1 natural syllable = 8 tokens; each repeated 4-16 times for a total of 64 tokens + 8 fillers * repeated 4x"	"eight test trials. Test trials were ordered such that every other trial was Alternating (and vice versa), with order counterbalanced in each group. On each test trial, infants heard a string of eight stimuli with an ISI of 1 s, for a total length of 11 s per trial. On half of the Non-Alternating trials the repeated stimulus was Token 3 from the experimental continuum, while on the other Non- Alternating trials it was Token 6. On the remaining four test trials, infants heard an alternation between the two endpoint stimuli, Tokens 1 and 8. "	"in_text"	6.15	1.939896904	5.45	1.80133284	NA	"fam"	NA	NA	"see above"	NA	NA	NA	NA	NA	NA	NA	"Exclusion criteria for all 4 groups combined: failure to meet language requirements (n 1<e2><81><84>4 5), crying (n 1<e2><81><84>4 2), inattention to the visual stimulus (n 1<e2><81><84>4 2), equipment failure (n 1<e2><81><84>4 1), experimenter error (n 1<e2><81><84>4 1), and parental interference (n 1<e2><81><84>4 1)."	2002	"Maye"	"artificial"	NA	NA	NA	NA	NA	NA	NA	NA	"artificial"	NA	NA	NA	NA	0.736739987	-0.235174167913066	"L&W function in table B formula 10.1 for pooled SD; L&W 3.21 for ES, L&W formula 3.22 to unbias (with N1 + N2), L&W 3.23 for SE, L&W 3.24 for weight"	0.409657043789212	5.95880463152008	1	1.97065978791253	0	21.8556465116279	-8.32558139534876	0.345186565672066	NA	NA	-0.574075733539868	0.576519184879673	"bim"
1038	"Maye J, Weiss DJ, Aslin RN.Statistical phonetic learning in infants: facilitation and feature generalization.Dev Sci. 2008 Jan;11(1):122-34. doi: 10.1111/j.1467-7687.2007.00653.x."	"Maye 2008"	"yes"	"journal"	"Cristia_Alex"	"exp2"	"bimodal+generalization"	"Maye 2008 BG"	"Maye 2008 NS"	NA	"Maye 2008 BG"	"Maye 2008 NS"	"AmE"	"standard"	35	251.36	40.84	9	0.4772727273	"eye-tracking"	"habituation"	"CF"	"lookingTime"	"within_two"	"consonant"	"da-ta or ga-ka"	0	"8 steps*4 natural syllables = 32 unique types, each step repeated between 8 and 36 times for a total of 128 tokens (based on fig.2, because methods say 64), ISI 1s"	"note TEST with untrained place of articulation; habituation with 4 tokens step 6 in continuum (max trial 60s), moving window of 3 trials, criterion 50% of first 3 trials. Then present 2 change trials using tokens from step 3. Compared 2 last hab trials against the 2 change trials. Posttest with \bupoki\. \Infants whose looking times showed no numerical increase either between habituation and change trials or between change trials and the posttest trial were excluded from analysis (this was true for two infants in the Bimodal condition and one infant each in the Unimodal and Control conditions).\"	"in_text"	5.421	2.679984142	6.697	4.377899039	NA	"hab"	1.798	NA	"34"	0.081	"no"	2.401	NA	"64"	0.05	"no"	"Exclusion criteria: crying or fussing (3), technical problems (1), exposure to a native language other than English (3), ear infection at the time of testing (1), or dishabituation that differed by more than 2 standard deviations from the mean (1)."	2008	"Maye"	"artificial"	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	0.736739987	0.624992829883888	"L&W function in table B formula 10.1 for pooled SD; L&W 3.21 for ES, L&W formula 3.22 to unbias (with N1 + N2), L&W 3.23 for SE, L&W 3.24 for weight"	0.249799675270931	16.0256724181195	1	3.48263969740558	0	27.8556465116279	-2.32558139534876	0.343500934410571	0.0808079630379197	0.0217988760685415	2.50197615031335	0.0171745880605023	"bim"
1038	"Maye J, Weiss DJ, Aslin RN.Statistical phonetic learning in infants: facilitation and feature generalization.Dev Sci. 2008 Jan;11(1):122-34. doi: 10.1111/j.1467-7687.2007.00653.x."	"Maye 2008"	"yes"	"journal"	"Cristia_Alex"	"exp1"	"bimodal"	"Maye 2008 B"	"Maye 2008 U"	NA	"Maye 2008 B"	"Maye 2008 U"	"AmE"	"standard"	32.33333333	254.36	52.84	23	0.4705882353	"eye-tracking"	"habituation"	"CF"	"lookingTime"	"within_two"	"consonant"	"da-ta or ga-ka"	0	"8 steps*4 natural syllables = 32 unique types, each step repeated between 8 and 36 times for a total of 128 tokens (based on fig.2, because methods say 64), ISI 1s"	"habituation with 4 tokens step 6 in continuum (max trial 60s), moving window of 3 trials, criterion 50% of first 3 trials. Then present 2 change trials using tokens from step 3. Compared 2 last hab trials against the 2 change trials. Posttest with \bupoki\. \Infants whose looking times showed no numerical increase either between habituation and change trials or between change trials and the posttest trial were excluded from analysis (this was true for two infants in the Bimodal condition and one infant each in the Unimodal and Control conditions).\"	"in_text"	4.807	2.058419135	6.844	3.570959162	NA	"hab"	3.088	NA	"31"	0.005	"no"	3.436	NA	"64"	0.001	"no"	"Exclusion criteria all 3 conditions combined: fussing (23), technical problems (6), exposure to a native language other than English (4), parental interference (5), failure to habituate after 25 trials (4), failure to produce any usable test trials due to looking times < 2 sec on both change trials (1), dishabituation that differed by more than 2 standard deviations from the mean of their familiarization condition (8), failure to dishabituate to the posttest stimulus (4), or falling asleep (1). "	2008	"Maye"	"artificial"	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	0.736739987	0.967239341204882	"L&W function in table B formula 10.1 for pooled SD; L&W 3.21 for ES, L&W formula 3.22 to unbias (with N1 + N2), L&W 3.23 for SE, L&W 3.24 for weight"	0.26284847185285	14.4740172898657	1	2.59243315584835	0	30.8556465116279	-2.32558139534876	0.681490242876564	0.00411789746624858	0.0016406829443687	3.67983627367774	0.000843893123110728	"bim"
