"unique_ID","long_cite","short_cite","peer_reviewed","coder","expt_num","expt_condition","response_mode","exposure_phase","method","dependent_measure","participant_design","same_infant","native_lang","infant_type","group_name_1","group_name_2","n_1","n_2","mean_age_1","mean_age_2","x_1","x_2","SD_1","SD_2","t","F","d","d_var","corr","age_range_1","age_range_2","n_excluded_1","n_excluded_2","gender_1","gender_2","num_trials","mean_vocab","method_secondary","corr_imputed","r","SD_dif","d_calc","d_var_calc","g_calc","g_var_calc","r_calc","r_var_calc","log_odds_calc","log_odds_var_calc","dataset","short_name","mean_age","n"
"bion2013","Bion, R. A., Borovsky, A., & Fernald, A. (2013). Fast mapping, slow learning: Disambiguation of novel wordâobject mappings in relation to vocabulary learning at 18, 24, and 30months. Cognition, 126(1), 39-53.","Bion, Borovsky, & Fernald (2013)","yes","Molly Lewis, Michael Frank",2,"experimental","eye-tracking","test_only","forced-choice","target_selection","within_one",1,"english","typical","experimental",NA,22,NA,547.56,NA,0.52,0.5,0.14,NA,0.59,NA,0.125788423,0.091088895,NA,15.21,NA,NA,NA,NA,NA,8,NA,"N_AFC-2",NA,NA,NA,0.142857142857143,0.0911410018552876,0.1375,0.08443359375,0.0712470499879097,0.022440025311566,0.259114194890603,0.29984187767688,"Mutual exclusivity","mutex",547.56,22
"bion2013","Bion, R. A., Borovsky, A., & Fernald, A. (2013). Fast mapping, slow learning: Disambiguation of novel wordâobject mappings in relation to vocabulary learning at 18, 24, and 30months. Cognition, 126(1), 39-53.","Bion, Borovsky, & Fernald (2013)","yes","Molly Lewis, Michael Frank",2,"experimental","eye-tracking","test_only","forced-choice","target_selection","within_one",2,"english","typical","experimental",NA,25,NA,730.08,NA,0.65,0.5,0.13,NA,5.34,NA,1.068,0.09140624,NA,45.63,NA,NA,NA,NA,NA,8,NA,"N_AFC-2",NA,NA,NA,1.15384615384615,0.0933136094674556,1.11622073578595,0.0873271621682084,0.499722453489577,0.00985259684198888,2.09284542027025,0.306989470227178,"Mutual exclusivity","mutex",730.08,25
"bion2013","Bion, R. A., Borovsky, A., & Fernald, A. (2013). Fast mapping, slow learning: Disambiguation of novel wordâobject mappings in relation to vocabulary learning at 18, 24, and 30months. Cognition, 126(1), 39-53.","Bion, Borovsky, & Fernald (2013)","yes","Molly Lewis, Michael Frank",2,"experimental","eye-tracking","test_only","forced-choice","target_selection","within_one",3,"english","typical","experimental",NA,20,NA,912.6,NA,0.68,0.5,0.14,NA,5.9,NA,1.319280107,0.12175625,NA,30.42,NA,NA,NA,NA,NA,8,NA,"N_AFC-2",NA,NA,NA,1.28571428571429,0.120663265306122,1.23214285714286,0.11081747803288,0.540757591313499,0.0106867091375512,2.33202775401542,0.396966231438373,"Mutual exclusivity","mutex",912.6,20
"byers2009","ByersâHeinlein, K., & Werker, J. F. (2009). Monolingual, bilingual, trilingual: infants' language experience influences the development of a wordâlearning heuristic. Developmental science, 12(5), 815-823.","Byers-Heinlein & Werker (2009)","yes","Molly Lewis, Michael Frank",1,"experimental","eye-tracking","test_only","forced-choice","looking_time_change","within_one",4,"english","typical","experimental",NA,16,NA,517.14,NA,0.12,0,0.18,NA,2.63,NA,0.66,0.13180625,NA,12.168,NA,NA,NA,NA,NA,6,76,"N_AFC-2",NA,NA,NA,0.666666666666667,0.131944444444444,0.630952380952381,0.118186206774376,0.316227766016838,0.024046875,1.20919957615615,0.43407982319606,"Mutual exclusivity","mutex",517.14,16
"evey1998","Evey, J. A., & Merriman, W. E. (1998). The prevalence and the weakness of an early name mapping preference. Journal of child language, 25(1), 121-147.","Evey & Merriman (1998)","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","forced-choice","target_selection","within_one",5,"english","typical","experimental",NA,12,NA,760.5,NA,0.81,0.5,0.21,NA,NA,NA,1.476190476,0.212065382,NA,91.26,NA,NA,NA,NA,NA,4,367,"N_AFC-2",NA,NA,NA,1.47619047619048,0.212065381708239,1.36547619047619,0.181448442224112,0.593852296837114,0.0143815604067554,2.67751334720289,0.69766714154211,"Mutual exclusivity","mutex",760.5,12
"evey1998","Evey, J. A., & Merriman, W. E. (1998). The prevalence and the weakness of an early name mapping preference. Journal of child language, 25(1), 121-147.","Evey & Merriman (1998)","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","forced-choice","target_selection","within_one",6,"english","typical","experimental",NA,12,NA,760.5,NA,0.66,0.5,0.22,NA,NA,NA,0.727272727,0.17768595,NA,91.26,NA,NA,NA,NA,NA,4,367,"N_AFC-2",NA,NA,NA,0.727272727272727,0.177685950413223,0.672727272727273,0.152032541322314,0.341743063086704,0.0306046563812903,1.31912681035216,0.584563346070031,"Mutual exclusivity","mutex",760.5,12
"evey1998","Evey, J. A., & Merriman, W. E. (1998). The prevalence and the weakness of an early name mapping preference. Journal of child language, 25(1), 121-147.","Evey & Merriman (1998)","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","forced-choice","target_selection","within_one",7,"english","typical","experimental",NA,8,NA,760.5,NA,0.83,0.5,0.19,NA,NA,NA,1.736842105,0.344269391,NA,91.26,NA,NA,NA,NA,NA,4,367,"N_AFC-2",NA,NA,NA,1.73684210526316,0.344269390581717,1.51973684210526,0.263581252164127,0.655686655446243,0.015945363706865,3.15028310630154,1.13260089748189,"Mutual exclusivity","mutex",760.5,8
"evey1998","Evey, J. A., & Merriman, W. E. (1998). The prevalence and the weakness of an early name mapping preference. Journal of child language, 25(1), 121-147.","Evey & Merriman (1998)","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","forced-choice","target_selection","within_one",8,"english","typical","experimental",NA,8,NA,760.5,NA,0.9,0.5,0.2,NA,NA,NA,2,0.375,NA,91.26,NA,NA,NA,NA,NA,4,367,"N_AFC-2",NA,NA,NA,2,0.375,1.75,0.287109375,0.707106781186547,0.01171875,3.62759872846844,1.23370055013617,"Mutual exclusivity","mutex",760.5,8
"evey1998","Evey, J. A., & Merriman, W. E. (1998). The prevalence and the weakness of an early name mapping preference. Journal of child language, 25(1), 121-147.","Evey & Merriman (1998)","yes","Molly Lewis, Michael Frank",3,"experimental","behavior","test_only","forced-choice","target_selection","within_one",9,"english","typical","experimental",NA,12,NA,760.5,NA,0.88,0.5,0.25,NA,NA,NA,1.52,0.2148,NA,91.26,NA,NA,NA,NA,NA,4,357,"N_AFC-2",NA,NA,NA,1.52,0.2148,1.406,0.18378825,0.605083267533558,0.0136767715552053,2.75697503363601,0.706663675117998,"Mutual exclusivity","mutex",760.5,12
"evey1998","Evey, J. A., & Merriman, W. E. (1998). The prevalence and the weakness of an early name mapping preference. Journal of child language, 25(1), 121-147.","Evey & Merriman (1998)","yes","Molly Lewis, Michael Frank",3,"experimental","behavior","test_only","forced-choice","target_selection","within_one",10,"english","typical","experimental",NA,12,NA,760.5,NA,0.84,0.5,0.18,NA,NA,NA,1.888888889,0.240997942,NA,91.26,NA,NA,NA,NA,NA,4,357,"N_AFC-2",NA,NA,NA,1.88888888888889,0.240997942386831,1.74722222222222,0.206203864454733,0.686623532963716,0.00889624941691621,3.42606546577574,0.79285145094485,"Mutual exclusivity","mutex",760.5,12
"frank2015","Frank, M. C., Sugarman, E., Horowitz, A., Lewis, M. L., & Yurovsky, D. (under review). Using tablets to collect data from young children.","Frank, Sugarman, Horowitz, Lewis, M. & Yurovsky (under review)","yes","Molly Lewis, Michael Frank",1,"experimental","eye-tracking","test_only","forced-choice","target_selection","within_one",11,"english","typical","experimental",NA,17,NA,517.14,NA,0.52,0.5,0.13,NA,NA,NA,0.153846154,0.117995127,NA,0,NA,NA,NA,NA,NA,8,NA,"N_AFC-2",NA,NA,NA,0.153846153846154,0.117995127044901,0.146153846153846,0.106490602158023,0.0766964988847371,0.0289812711773087,0.279046056036034,0.388188408396484,"Mutual exclusivity","mutex",517.14,17
"frank2015","Frank, M. C., Sugarman, E., Horowitz, A., Lewis, M. L., & Yurovsky, D. (under review). Using tablets to collect data from young children.","Frank, Sugarman, Horowitz, Lewis, M. & Yurovsky (under review)","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","forced-choice","target_selection","within_one",12,"english","typical","experimental",NA,15,NA,577.98,NA,0.52,0.5,0.23,NA,NA,NA,0.086956522,0.133459357,NA,0,NA,NA,NA,NA,NA,8,NA,"N_AFC-2",NA,NA,NA,0.0869565217391305,0.133459357277883,0.0819397993311037,0.11850440710954,0.043437224276307,0.0331763378493656,0.157721683846454,0.439063686652116,"Mutual exclusivity","mutex",577.98,15
