bibliographical.reference,coder,nrow,doi,nb.found,author1,year,journal,pub.type,data.site,stimuli.site,exp.condition,native.language,infant.type,min.age.days,mean.age.days,mean.age.Notes,max.age.days,nb.included,nb.excluded.total,fussers,non.criterion,exclusion.Criteria,same.infant.no,same.infant,nativeness,contrast_pseudoIPA,contrast_sampa,sampa_comments,counterbalanced,backness,height,nasality,roundness,tenseness,length,stimuli.notes,F1.1,F2.1,F1.2,F2.2,duration.word.1,duration.word.2,duration.vowel.1,duration.vowel.2,frequency.1,frequency.2,frequency.source,method,design,method.notes,results.extra,t,F,df,HAS.experimental,HAS.experimental.SD,HAS.control.nb,HAS.control,HAS.control.SD,CF.corr.same.switch,CF.difference,CF.same.SD,CF.switch.SD,CHT.pc,CHT.pc.SD,CHT.dprime,CHT.dprime.SD,CHT.Aprime,CHT.Aprime.SD,NIRS.DIFF,NIRS.DIFF.SD,NIRS.LI,NIRS.LI.SD,ERP.MMR.peakamplitude,ERP.MMR.peakamplitude.SD,MSDapprox,notes,specdif,tdif.count,tdif.dir,dur,featdif,attrition,fodif.count,fodif.dir,EffectSize,Formulas.used,ES.SE,ES.w,ES.type,CF.pooled,HAS.pooled
"Swoboda, P.J., Morse, P.A., & Leavitt, L.A. (1976). Continuous Vowel Discrimination in Normal and At Risk Infants. Child Development 47(2), 459-465",st,6,10.2307/1128802 ,2,Swoboda,1976,Child Development,article,NA,NA,single,English,mixed,52,56.9,mean,66,20,90.3,26.187,6.321,"fussiness, sleeping, criterion, eq error, exp error",6,no,unusual,i-I'_,i-I'_,not_looked_up,1,0,0,0,0,1,0,"comments_F: NA; F1/F2/F3.1: 270/2300/3019 i1 or I7 374/2070/2666; F1/F2/F3.2: 298/2226/2902 i1 or I5 336/2144/2776; min.f0: 125; average.f0: NA; max.f0: 80; range.f0: NA; pitch.contour: falling; other: synthesized (Pisoni), 240 ms long, 3 formants with terminal F0 that fell linearly from 125-80H. Four stim varied in equal log steps from I to I. First two were cat. As I by adults, second two as I. Presented with 65db against 45 dB noise; voice: NA; IDS: no; naturalness: synthetic; ISI: NA; SOA: NA; ambient.noise: 45; snr: 20; differ.in: ",270,2300,298,2226,240,240,240,240,0.093461068,0.130269275,"R.Daland corpus, overall vowel counts",HAS,between,fam.length:NA;habituation.criterion:20;proportion.same.change:NA;max.trial.duration:NA;nb.tokens.trial:NA;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,5.83,NA,20,-2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,data was sucks per minute;note this control group is the same as in the previous line,0.3645980019,1,NA,240,1,0.8186763373,0.3320586898,NA,NA,"L&W Table B10 (17) for pooled SD, 3.21 for ES, unbiased ES from 3.22, 3.23 for SE, 3.24 for weight",NA,NA,2,NA,NA
"Swoboda, P.J., Kass, J., Morse, P.A., & Leavitt, L.A. (1978). Memory Factors in Vowel Discrimination of Normal and At-Risk Infants. Child Development, 49(2), 332-339",st,7,10.2307/1128695 ,3,Swoboda,1978,Child Development,article,NA,NA,single,English,mixed,52,59.9,mean,66,30,91,17.5,3.5,"fussiness, sleeping, criterion, eq error, exp error",7,no,native,i-I_,i-I_,not_looked_up,1,0,0,0,0,1,0,"comments_F: NA; F1/F2/F3.1: 298/2226/2902 i3; F1/F2/F3.2: 336/2144/2776 i5; min.f0: 125; average.f0: NA; max.f0: 80; range.f0: NA; pitch.contour: falling; other: synthesized (Pisoni), 240 ms long, 3 formants with terminal F0 that fell linearly from 125-80H. Four stim varied in equal log steps from I to I. First two were cat. As I by adults, second two as I. Presented with 65db against 45 dB noise; voice: NA; IDS: no; naturalness: synthetic; ISI: NA; SOA: NA; ambient.noise: 45; snr: 20; differ.in: ",298,2226,336,2144,60,60,60,60,0.093461068,0.130269275,"R.Daland corpus, overall vowel counts",HAS,between,fam.length:NA;habituation.criterion:20;proportion.same.change:NA;max.trial.duration:NA;nb.tokens.trial:NA;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,"Some statistics reported, but only on pre-post changes, as there is no control group. Not included in Tsuji&Cristia(2013), Developmental Psychobiology, bc difficult to compare to other HAS studies",0.459628072,1,NA,60,1,0.7520661157,0.3320586898,NA,NA,NA,NA,NA,2,NA,NA
"Swoboda, P.J., Kass, J., Morse, P.A., & Leavitt, L.A. (1978). Memory Factors in Vowel Discrimination of Normal and At-Risk Infants. Child Development, 49(2), 332-339",st,8,10.2307/1128695 ,3,Swoboda,1978,Child Development,article,NA,NA,single,English,mixed,52,59.9,mean,66,30,91,17.5,3.5,"fussiness, sleeping, criterion, eq error, exp error",8,no,unusual,i-I'_,i-I'_,not_looked_up,1,0,0,0,0,1,0,"comments_F: NA; F1/F2/F3.1: 270/2300/3019 i1 or I7 374/2070/2666; F1/F2/F3.2: 298/2226/2902 i1 or I5 336/2144/2776; min.f0: 125; average.f0: NA; max.f0: 80; range.f0: NA; pitch.contour: falling; other: synthesized (Pisoni), 240 ms long, 3 formants with terminal F0 that fell linearly from 125-80H. Four stim varied in equal log steps from I to I. First two were cat. As I by adults, second two as I. Presented with 65db against 45 dB noise; voice: NA; IDS: no; naturalness: synthetic; ISI: NA; SOA: NA; ambient.noise: 45; snr: 20; differ.in: ",270,2300,298,2226,60,60,60,60,0.093461068,0.130269275,"R.Daland corpus, overall vowel counts",HAS,between,fam.length:NA;habituation.criterion:20;proportion.same.change:NA;max.trial.duration:NA;nb.tokens.trial:NA;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,"Some statistics reported, but only on pre-post changes, as there is no control group. Not included in Tsuji&Cristia(2013), Developmental Psychobiology, bc difficult to compare to other HAS studies",0.3645980019,1,NA,60,1,0.7520661157,0.3320586898,NA,NA,NA,NA,NA,2,NA,NA
"Trehub, S. E. (1976).The Discrimination of Foreign Speech Contrasts by Infants and Adults. Child Development 47(2), 466-472.",st,9,10.2307/1128803 ,4,Trehub,1976,Child Development,article,NA,NA,I,English,standard,42,73.5,median,119,10,16.5,4,7.5,"fussiness, sleeping, criterion, eq error",9,no,nonnative,pa-pa?_,pa-pa~_,French,1,0,0,1,0,0,0,comments_F: NA; F1/F2/F3.1: NA; F1/F2/F3.2: NA; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: male; .5s sound+.5s silence; matched visually on intensity contour and duration; 6 french native speakers okayed the stimuli; played at 62 dB (noise at infant's head was 38dB); voice: male; IDS: no; naturalness: synthetic; ISI: 500; SOA: NA; ambient.noise: 38; snr: 24; differ.in: ,678,1200,692,987,500,500,500,500,NA,NA,NA,HAS,between,fam.length:NA;habituation.criterion:33;proportion.same.change:NA;max.trial.duration:NA;nb.tokens.trial:NA;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,5.25,"1,18",NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,individual data was sucks converted to percentage of baseline;figures could be used to estimate means,1.206482877,1,NA,500,1,0.6226415094,NA,NA,0.9813981015,"L&W Table B10 (4), then unbiased ES from 3.22, 3.23 for SE, 3.24 for weight",0.4733693651,4.462720657,2,NA,NA
"Kuhl, P.K., & Miller, J.D. (1982). Discrimination of auditory target dimensions
in the presence or absence of variation
in a second dimension by infants. Perception & Psychophysics 31(3), 279-292",st,10,10.3758/BF03202536 ,5,Kuhl,1982,Perception & Psychophysics,article,NA,NA,no_variation,English,standard,35,78.4,mean,112,8,4.3,0,4.3,criterion,10,no,native,a-i_,A-i_,"their vowel doesn't correspond to any of the formants given in P&B52, contra their statement… but the closest might indeed be A",1,0,2,0,0,0,0,"comments_F: F1-F3. Steady-state. ; F1/F2/F3.1: 775/1064/2614; F1/F2/F3.2: 263/2378/3099; min.f0: 132; average.f0: NA; max.f0: 92; range.f0: NA; pitch.contour: NA; other: No pitch variation (either monotonous or falling). Synthesized on terminal analog serial synthesizer. Steady-state, male talker characteristics. F1-F3+ constant (for a and i) upper formants (f4=F10). 500 ms duration.; voice: male; IDS: no; naturalness: synthetic; ISI: NA; SOA: NA; ambient.noise: 12; snr: 56; differ.in: ",775,1064,263,2378,500,500,500,500,0.059267596,0.093461068,"R.Daland corpus, overall vowel counts",HAS,between,fam.length:NA;habituation.criterion:20;proportion.same.change:NA;max.trial.duration:NA;nb.tokens.trial:NA;visual.stim:colorful bear;size.in:15.8823801742686;dist.from.child.in:30;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,0.2,NA,8,-0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,individual data was sucks converted to percentage of baseline; they do an ANOVA including both vowel change in the absence of pitch variation and its control and pitch change in the absence of vowel variation and its control. So pooled SD is calculated in the R script from the  information available.,6.876518124,1,NA,500,2,0.3495934959,0.4554822497,NA,1.372208113,"L&W Table B10 (17) for pooled SD, then Table B10 (1) for ES, then unbiased ES from 3.22, 3.23 for SE, 3.24 for weight",0.5557358609,3.237897942,2,NA,NA
"Kuhl, P.K., & Miller, J.D. (1982). Discrimination of auditory target dimensions
in the presence or absence of variation
in a second dimension by infants. Perception & Psychophysics 31(3), 279-292",st,11,10.3758/BF03202536 ,5,Kuhl,1982,Perception & Psychophysics,article,NA,NA,with_variation,English,standard,35,78.4,mean,112,8,4.3,0,4.3,criterion,11,no,native,a-i_,A-i_,"their vowel doesn't correspond to any of the formants given in P&B52, contra their statement… but the closest might indeed be A",1,0,2,0,0,0,0,"comments_F: F1-F3. Steady-state. ; F1/F2/F3.1: 775/1064/2614; F1/F2/F3.2: 263/2378/3099; min.f0: 132; average.f0: NA; max.f0: 92; range.f0: NA; pitch.contour: NA; other: the familiarization stimuli varied in pitch. Synthesized on terminal analog serial synthesizer. Steady-state, male talker characteristics. F1-F3+ constant (for a and i) upper formants (f4=F10). 500 ms duration.; voice: male; IDS: no; naturalness: synthetic; ISI: NA; SOA: NA; ambient.noise: 12; snr: 56; differ.in: ",775,1064,263,2378,500,500,500,500,0.059267596,0.093461068,"R.Daland corpus, overall vowel counts",HAS,between,fam.length:NA;habituation.criterion:20;proportion.same.change:NA;max.trial.duration:NA;nb.tokens.trial:NA;visual.stim:colorful bear;size.in:15.8823801742686;dist.from.child.in:30;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,2.88,NA,14,0.15,NA,8,-0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,"individual data was sucks converted to percentage of baseline; they do an ANOVA for one part, and t-tests for the other. So ES for the first cond (without pitch variation) based on F of Anova where also a cond with only pitch var was in, and ES for the second cond (with pitch variation) is based on t-test for only that condition. ",6.876518124,1,NA,500,2,0.3495934959,0.4554822497,NA,1.168918022,"L&W Table B10 (17) for pooled SD, then Table B10 (1) for ES, then unbiased ES from 3.22, 3.23 for SE, 3.24 for weight",0.5410166744,3.416478555,2,NA,NA
"Jusczyk, P. W., & Derrah, C. (1987). Representation of Speech Sounds by Young Infants. Developmental Psychology, 23(5), 648?54. ",ac,12,10.1037/0012-1649.23.5.648,6,Jusczyk,1987,Developmental Psychology,article,NA,NA,bu_group,English,standard,42,60.2,mean,86.1,16,37.25,22.7225,186.25,"fussiness, sleeping, eq err, criterion [note: counting here half of the kids excluded for the control group]",12,no,native,"[bi, bo, ber, ba] to [bi, bo, ber, ba, bu, bu, bu, bu] (randomized)","[bi, bo, b@r, bA] to [bi, bo, b@r, bA, bu, bu, bu, bu] (randomized)",not_looked_up,0,NA,NA,NA,NA,NA,NA,"comments_F: allowed to vary over time; here taking values for the 'stable' portion, at 180 ms; F1/F2/F3.1: well-described in paper (table 1 on p. 650), but not writing the F's for the 'first stimulus set' here because there's a lot of variability; F1/F2/F3.2: 317/966/2240; min.f0: 125; average.f0: NA; max.f0: 100; range.f0: NA; pitch.contour: falling; other: synthetic modeled on male talker, 300 ms, f0 begins 121 rises to 125 at 50 ms and falls linearly to 100 hz at offset; ISI 750 ms; voice: male; IDS: no; naturalness: synthetic; ISI: 750; SOA: NA; ambient.noise: 57; snr: 15; differ.in: ",NA,NA,317,966,300,300,300,300,NA,NA,NA,HAS,between,fam.length:NA;habituation.criterion:25;proportion.same.change:NA;max.trial.duration:NA;nb.tokens.trial:NA;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,5.78,10.74,16,-12.03,12.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,"sucks per minute;noting here the 2 minute results, but 4 minute results also reported",NA,NA,1,300,NA,0.6995305164,NA,NA,1.518944298,"L&W pooled SD from Table B10 formula 1, 3.21 for ES, then unbiased ES from 3.22, 3.23 for SE, 3.24 for weight",0.4013101937,6.209256736,2,NA,11.42965441
"Jusczyk, P. W., & Derrah, C. (1987). Representation of Speech Sounds by Young Infants. Developmental Psychology, 23(5), 648?54. ",ac,13,10.1037/0012-1649.23.5.648,6,Jusczyk,1987,Developmental Psychology,article,NA,NA,du_group,English,standard,42,60.2,mean,86.1,16,37.25,22.7225,186.25,"fussiness, sleeping, eq err, criterion [note: counting here half of the kids excluded for the control group]",13,no,native,"[bi, bo, ber, ba] to [bi, bo, ber, ba, du, du, du, du] (randomized)","[bi, bo, b@r, bA] to [bi, bo, b@r, bA, bu, bu, bu, bu] (randomized)",not_looked_up,0,NA,NA,NA,NA,NA,NA,"comments_F: allowed to vary over time; here taking values for the 'stable' portion, at 180 ms; F1/F2/F3.1: well-described in paper (table 1 on p. 650), but not writing the F's for the 'first stimulus set' here because there's a lot of variability; F1/F2/F3.2: 317/1100/2240; min.f0: 125; average.f0: NA; max.f0: 100; range.f0: NA; pitch.contour: falling; other: synthetic modeled on male talker, 300 ms, f0 begins 121 rises to 125 at 50 ms and falls linearly to 100 hz at offset; ISI 750 ms; voice: male; IDS: no; naturalness: synthetic; ISI: 750; SOA: NA; ambient.noise: 57; snr: 15; differ.in: ",NA,NA,317,1100,300,300,300,300,NA,NA,NA,HAS,between,fam.length:NA;habituation.criterion:25;proportion.same.change:NA;max.trial.duration:NA;nb.tokens.trial:NA;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,10.55,11.68,16,-12.03,12.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,"sucks per minute;noting here the 2 minute results, but 4 minute results also reported",NA,NA,1,300,NA,0.6995305164,NA,NA,1.852494768,"L&W pooled SD from Table B10 formula 1, 3.21 for ES, then unbiased ES from 3.22, 3.23 for SE, 3.24 for weight",0.4226356451,5.598449365,2,NA,11.88168338
"Miller, J. L., & Eimas, P. D. (1979). Organization in infant speech perception. Canadian journal of psychology, 33(4), 353?67.",ac,14,10.1037/h0081732 ,7,Miller,1979,Canadian Journal of Psychology,article,NA,NA,exp1,English,standard,60,90,midrange,120,12,39,36.66,1.56,"fussiness, sleeping, criterion, eq error, exp error (note: counting here the excluded kids for all of the control groups -- there were 3)",14,no,native,[ba-da]-[bae-dae]_,[ba-da]-[b{-d{]_,"Aenglish. the authors say nothing but /a/ everywhere, and based on the Fs I guess that it is indeed a: male voice F1 770 (so ok for both) but F2 1220 -- too forward for A, so it could fit a",1,0,0,0,0,1,0,"comments_F: formants varied somewhat over vowel, here noting the 'steady state'; notice that order was counterbalanced, so I'm noting both vowels in the second stim column; F1/F2/F3.1: NA; F1/F2/F3.2: a 771/1233/2520, ae 771/1796/2780; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: synthetic, 300 ms; ISI 700 ms; background level of noise 63 dB, stimuli at 75 db; voice: NA; IDS: no; naturalness: synthetic; ISI: 700; SOA: NA; ambient.noise: 63; snr: 12; differ.in: ",771,1233,771,1796,300,300,300,300,NA,NA,NA,HAS,between,fam.length:NA;habituation.criterion:20;proportion.same.change:NA;max.trial.duration:NA;nb.tokens.trial:NA;visual.stim:colorful bear;size.in:15.8823801742686;dist.from.child.in:30;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,1.676,NA,46,6.1,NA,36,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,"sucks per minute;noting here the 2 minute results minus the mean for 2 mins before shift, although other results also reported this is the only one for which stats were reported; IMPORTANT t estimated from approx p - see notes txt file",2.466816122,1,NA,300,1,0.7647058824,NA,NA,0.5495081967,"L&W Table B10 (2), then unbiased ES from 3.22, 3.23 for SE, 3.24 for weight",0.3380185203,8.752235755,2,NA,NA
"Cowan, N., Suomi, K. & Morse, P. A. (1982). Echoic storage in infant perception. Child Development, 53(4), 984-990",ac,15,10.2307/1129138 ,8,Cowan,1982,Child Development,article,NA,NA,exp2,English,standard,56,60,midrange,63,18,29,NA,NA,"fussiness, sleeping",15,no,native,[a-a] to [a-ε] OR [ε-ε] to [ε-a] versus control: [a-a] to [ε-a] OR [ε-ε] to [a-ε],[a-a] to [a-E] OR [E-E] to [E-a] versus control: [a-a] to [E-a] OR [E-E] to [a-E],rather /a/ F1 750 F2 1150,0,NA,NA,NA,NA,NA,NA,"comments_F: NA; F1/F2/F3.1: a 750/1150/2400 E 245/2250/3000; F1/F2/F3.2: NA; min.f0: 200; average.f0: NA; max.f0: 40; range.f0: NA; pitch.contour: falling; other: Notice that they presented pairs of vowels; synthetic, 50 ms long, 0ms within pair, 900ms between pair, amplitude ramped 10ms onset and offset, f0 fell linearly from 200 to 40 hz across 50 ms; voice: NA; IDS: no; naturalness: synthetic; ISI: 900; SOA: NA; ambient.noise: 45; snr: 22; differ.in: ",750,1150,NA,NA,50,50,50,50,NA,NA,NA,HAS,between,fam.length:NA;habituation.criterion:NA;proportion.same.change:NA;max.trial.duration:NA;nb.tokens.trial:NA;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,3.08,NA,34,14.42,NA,18,-2.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,sucks per 30s;not coding ES because too different from others - REVISIT.,NA,NA,1,50,NA,0.6170212766,NA,NA,1.003851852,"L&W Table B10 (2), then unbiased ES from 3.22, 3.23 for SE, 3.24 for weight",0.3537049646,7.993144954,2,NA,NA
