paper_key,year,expt_num,N,age_mean (months),age_min,age_max,CDI_prod_mean,N_AFC,number of trials,number of repeats of the object,familiarization play time,DV type,NN or NF,stimulus,question,d,M_experimental,M_baseline,SD,t,df,# langs,r_age,r_vocab,Notes,include in basic analysis?,exclusion reason,CHECKED,OLD
halberda2006,2006,1,20,276,212,372,,2,6,0,none,ET,NF,,‘Where is the X?/Find the X?’/Look at the X?/Which one is the X?’,,0.81,0.48,,9.90,19,1,,,,0,adult,,
halberda2006,2006,2,10,276,216,372,,2,4,0,,ET,NF,,The winner is the dax.,,0.75,0.50,,9.69,9,1,,,,0,adult,,
au1990,1990,1,20,53,42,71,,4,1,many,play,FC,NN,,Is there an X here?,,0.94,0.50,0.31,,,1,,,,0,NN,,
au1990,1990,1,18,61,43,77,,4,1,many,play,FC,NN,dual-language,Is there an X here?,,0.67,0.50,0.49,,,1,,,"Bilingual Note, omitted experiments 2 and 3 on super/subordinates",0,NN,,
demarchena2011,2011,1,40,126,,,,2,12,0,,FC,NN,,Can you give me the X,1.57,0.87,0.50,,23.22,39,1,,0.4,TD - also r_vocab is for both studies,0,NN,,
demarchena2011,2011,1,42,129,,,,2,12,0,,FC,NN,,Can you give me the X,2.03,0.86,0.50,,31.70,41,1,,0.4,ASD,0,NN,,
demarchena2011,2011,1,40,126,,,,2,12,0,,FC,NN,fact,Can you give me the one my dog likes to play with?,0.92,0.67,0.50,,17.86,39,1,,0.17,TD ,0,fact,,
demarchena2011,2011,1,42,129,,,,2,12,0,,FC,NN,fact,Can you give me the one my dog likes to play with?,0.58,0.74,0.50,,14.62,41,1,,0.17,ASD,0,fact,,
diesendruck2001,2001,1,16,42,37,49,,2,6,0,1 min,FC,NN,fact,(e.g.) Can you give Percy the one my dog likes to play with? ,,0.73,0.50,0.18,5.26,15,1,,,fact condition,0,fact,,
diesendruck2001,2001,3,16,42,36,48,,2,6,0,1 min,FC,NN,fact,(e.g.) Can you give me the one that goes inside a fish tank?,,0.65,0.50,0.17,3.42,15,1,,,no-knowledge fact condition,0,fact,,
diesendruck2001,2001,3,16,42,36,48,,2,6,0,1 min,FC,NN,fact,(e.g.) Can you give me the one that goes inside a fish tank?,,0.50,0.50,0.20,,,1,,,explicit knowledge fact condition,0,fact,,
ishida2003,2003,1,22,59,32,64,,3,6,,,FC,NNN,,Which one is a X? Put a X into the box.,,0.59,0.33,0.29,4.24,,1,,,in japanese,0,NNN,,
ishida2003,2003,2,23,63,44,75,,3,6,,,FC,NNN,,Which one is a X? Put a X into the box.,,0.61,0.33,0.26,5.19,,1,,,,0,NNN,,
jaswal2006,2006,2,16,44,35,57,NA,2,6,0,,FC,NF,fact,Can you give me the one my sister found?,,0.34,0.50,0.30,-2.12,15,1,,,experimenter looked at familiar object,0,fact,,
markman1988,1988,3,15,43,36,50,,2,4,0,,FC,NN,,Which one is the x?,,0.88,,,6.81,14,1,,,object parts. NN taught label before test.,0,NN,,
momen2002,2002,1,16,25,24,26,,,,,familiarized to novel pictures before test (time not stated),FC,NN,,,,0.72,,1.08,2.48,15,1,,,,0,NN,,
byers2009,2009,1,16,17,17.8,18.2,35,2,6,5,FF and FN trials,ET,NF,,"Look at the X, X’, ‘Find the X, X’, and ‘Where is the X, X’",0.42,0.08,0.00,0.19,1.69,15,2,,,,0,bilingual,,
byers2009,2009,1,16,18,17.8,18.2,75,2,6,5,FF and FN trials,ET,NF,,"Look at the X, X’, ‘Find the X, X’, and ‘Where is the X, X’",,-0.03,0.00,0.24,-0.56,15,3,,,,0,bilingual,,
byers2013,2013,1,20,17,17,18,61,2,12,,,ET,NF,,Look at the X/Find the X/Where's the X,-0.2,-0.06,0.00,0.30,-0.89,,2,,,,0,bilingual,,
davidson1997,1997,1,16,49,45,52,,2,6,0,5 min,FC,NF,,"object named, child asked to point",,0.60,,,1.46,15,2,,,bilingual english/greek. only this t test reported,0,bilingual,,
diesendruck2001,2001,1,16,42,37,49,,2,6,0,1 min,FC,NN,,Can you give Percy the X? ,,0.82,0.50,0.17,7.77,15,1,,,label condition,0,NN,,
diesendruck2001,2001,2,16,45,40,50,,2,6,0,1 min,FC,NN,,Can you give Percy the X? ,,0.78,0.50,0.22,5.38,15,1,,,"2 novel labels, 1 by experimenter and 1 by puppet who enters scene ",0,NN,,
graham2009,2009,1A,22,24,,,,3,6,0,15s,FC,NF,,Show me an X,,0.53,0.33,0.94,,,1,,,gaze inconsistent,0,incongruent pragmatic signal,,
graham2009,2009,1B,21,26,,,,3,6,0,15s,FC,NF,,Show me an X,,0.48,0.33,1.77,,,1,,,gaze inconsistent,0,incongruent pragmatic signal,,
graham2010,2010,1A,22,24,,,,3,6,,,FC,NFF,,Show me an X,,0.53,0.33,0.23,,,1,,,incongruent gaze to familiar *coded from plot CHECK,0,incongruent pragmatic signal,0.23,0.03
graham2010,2010,1B,21,26,,,,3,6,,,FC,NFF,,Show me an X,,0.48,0.33,0.30,,,1,,,novel only incongruent gaze to familiar ,0,incongruent pragmatic signal,,
grassman2010,2010,1,12,24,23,24,,2,4,,,FC,NF,,Let's play with the X. Give me/Take the x,,0.49,0.50,0.38,,,1,,,non-ostensive pointing CHECK,0,incongruent pragmatic signal,0.38,0.11
grassman2010,2010,1,12,24,23,24,,2,4,,,FC,NF,,Let's play with the X. Give me/Take the x,,0.02,0.50,0.09,,,1,,,ostensive pointing CHECK,0,incongruent pragmatic signal,0.09,0.02
grassman2010,2010,1,12,48,46,50,,2,4,,,FC,NF,,Let's play with the X. Give me/Take the x,,0.54,0.50,0.41,,,1,,,non-ostensive pointing CHECK,0,incongruent pragmatic signal,0.41,0.12
grassman2010,2010,1,12,48,46,50,,2,4,,,FC,NF,,Let's play with the X. Give me/Take the x,,0.02,0.50,0.09,,,1,,,ostensive pointing CHECK,0,incongruent pragmatic signal,0.09,0.02
halberda2006,2006,1,20,276,216,372,,2,12,0,,ET,NF,,‘‘Where is the ___?’’ / ‘‘Find the ___?’’ /‘‘Look at the ___?’’ / ‘‘Which one is the ___?’’,,,,,9.90,19,1,,,adult study,0,adults,,
halberda2006,2006,2,10,276,216,372,,2,8,0,,ET,NF,,The winner is the X,,,,,9.69,9,1,,,"adult study, within subjects design (novel trials)",0,adults,,
halberda2006,2006,2,10,276,216,372,,2,8,0,,ET,NF,,The winner is not the X,,,,,2.70,9,1,,,"adult study, within subjects design (NOT-novel trials)",0,adults,,
jaswal2006,2006,1,12,49,43,59,NA,2,6,0,,FC,NF,,Can you give me the X?,,0.88,0.50,0.23,5.75,11,1,,,experimenter pointed to familiar object,0,incongruent pragmatic signal,,
jaswal2006,2006,2,16,44,35,57,NA,2,6,0,,FC,NF,,Can you give me the X?,,0.75,0.50,0.36,2.82,15,1,,,experimenter looked at familiar object,0,incongruent pragmatic signal,,
jaswal2010,2010,1,16,30,28,32,,2,6,0,,FC,NF,,Can you hand me the X,,0.78,0.50,0.26,,,1,,,incongruent gaze at familiar,0,incongruent pragmatic signal,,
jaswal2010,2010,1,16,30,28,32,,2,6,0,,FC,NF,,Can you hand me the X,,0.65,0.50,0.39,,,1,,,incongruent pointing at familiar,0,incongruent pragmatic signal,,
jaswal2010,2010,2,16,30,28,32,,2,6,0,,FC,NF,,Can you hand me the X,,0.14,0.50,0.27,,,1,,,incongruent pointing AND gazing at familiar,0,incongruent pragmatic signal,,
markman1988,1988,2,15,43,36,51,,2,6,0,,FC,NF,,Which one is the x?,,0.57,,,0.70,14,1,,,object parts,0,object parts,,
mervis1994,1994,1,16,17,,,95,5,4,0,,FC,NFFFF,,May I have the X,,0.90,0.20,0.13,,,1,,,"The half of the children who were identified as ME USERS by a binomial null model. NOTE: In all cases, the child was allowed to refuse to give an answer. This accounted for the vast majority of wrong answers",0,data split by ME use,,
mervis1994,1994,1,16,17,,,95,5,4,1,,FC,NNFFF,,May I have the X,,0.80,0.20,0.21,,,1,,,The half of the children who were identified as ME USERS by a binomial null model.,0,data split by ME use,,
mervis1994,1994,1,16,17,,,45,5,4,0,,FC,NFFFF,,May I have the X,,0.11,0.20,0.13,,,1,,,The half of the children who were identified as NONUSERS by a binomial null model.,0,data split by ME use,,
mervis1994,1994,1,16,17,,,45,5,4,1,,FC,NNFFF,,May I have the X,,0.38,0.20,0.16,,,1,,,The half of the children who were identified as NONUSERS by a binomial null model.,0,data split by ME use,,
sugimura1997,1997,1,77,62,51,75,,5,,,,FC,NFFF,,,,1,0.5,0,,,1,,,in japanese,0,no variability?,,
bion2012,2012,2,22,18,18.8,19.3,,2,8,4,,ET,NF,,Where is the X?,,0.52,0.50,0.14,0.59,21,1,,0.12,,1,,,
bion2012,2012,2,25,24,24.2,25.7,,2,8,4,,ET,NF,,Where is the X?,,0.65,0.50,0.13,5.34,24,1,,0.57,,1,,,
bion2012,2012,2,20,30,30,31,,2,8,4,,ET,NF,,Where is the X?,,0.68,0.50,0.14,5.90,19,1,,0.32,,1,,,
byers2009,2009,1,16,17,17.8,18.2,76,2,6,5,FF and FN trials,ET,NF,,"Look at the X, X’, ‘Find the X, X’, and ‘Where is the X, X’",0.66,0.12,0.00,0.18,2.63,15,1,,,"No significant difference between monolingual and bilingual. All the effects are caused by the trilinguals not showing ME. Surprising differences in vocabulary, with trilinguals having an English productive vocabulary twice as large as that of bilinguals. BH&W used one-tailed tests to show that children were above chance in the FF trials. Participants are still not reliably looking at the novel object after hearing a novel word, but they are decreasing their tendency to look at the familiar object instead. W&BH use difference scores between baseline and poslabeling windows, and not absolute looking time after labeling against chance level as their DV. Eleven additional infants were rejected. r_vocab: B=−.048, average for monolingual, bilingual, and trilingual. No correlation presented separately for each language group. BUT: can't calculate r because don't have SD for CDI",1,,,
evey1998,1998,1,12,25,24,27,367,2,4,,,FC,NF,,"`Do you know what a dax (or some other
test word) is ? One of these is a dax'. Pictures were then turned over and the
experimenter said, `Find the dax'",,0.81,0.5,0.21,,,1,,,,1,,,
evey1998,1998,1,12,25,24,27,367,2,4,,,FC,NF,,"`Do you know what a dax (or some other
test word) is ? One of these is a dax'. Pictures were then turned over and the
experimenter said, `Find the dax'",,0.66,0.5,0.22,,,1,,,NFFF trials first,1,,,
evey1998,1998,1,8,25,24,27,367,2,4,,,FC,NF,,"`Do you know what a dax (or some other
test word) is ? One of these is a dax'. Pictures were then turned over and the
experimenter said, `Find the dax'",,0.83,0.5,0.19,,,1,,,,1,,,
