Timestamp,Tags,Construct,Author1,Year,DOI_or_link,Data_grouping,Age1,Measure1,Age2,Measure2,Correlational versus subgroup contrast designs,Explanation_subgrouping,N_low,N_high,M1_low,M1_high,SD1_low,SD1_high,M2_low,M2_high,SD2_low,SD2_high,spooled,t_F*,N_single,r,Expected,difMeans,cohensd,corr.cohensd,df,all_OK
1/3/2013,"longitudinal, auditory processing, vocabulary",RAP,Benasich,2002,10.1016/S0166-4328(02)00098-0,1,7.5,RAP,12,CDI,correlational,,,,,,,,,,,,,,43,-0.68,negative,,,,,yes
1/3/2013,"longitudinal, auditory processing, vocabulary",RAP,Benasich,2002,10.1016/S0166-4328(02)00098-0,1,7.5,RAP,16,CDI,correlational,,,,,,,,,,,,,,43,-0.75,negative,,,,,yes
1/3/2013,"longitudinal, auditory processing, vocabulary",RAP,Benasich,2002,10.1016/S0166-4328(02)00098-0,1,7.5,RAP,36,PLS-3,correlational,,,,,,,,,,,,,,43,-0.39,negative,,,,,yes
1/3/2013,"longitudinal, information processing, vocabulary",Habituation,Bornstein,1985,http://www.pnas.org/content/82/21/7470.short,1,5,Habituation,24,RDLS-R,correlational,,,,,,,,,,,,,,18,0.55,negative,,,,,yes
1/3/2013,"longitudinal, speech perception, vocabulary",Sounds,Cardillo,2010,http://udini.proquest.com/view/predicting-the-predictors-goid:755265232/,1,7 to 11,d' /u-y/ (non-prototypical),60,PPVT,contrast,"Classified as ""low-low"" within .4SD of the overall group means and less than 60% increase between 7 and 11 months - meaning that they remained rather low; and ""high-high"" if they scored >.7SD above the group mean at 7 and remained within 50% of their score at 11m - meaning they remained rather high. Not shown here, but reported, are results for a group of low-high, characterized by low values at 7 months increasing to 11months.",9,8,,,,,113.89,120.88,12.77,19.16,15.0964008176472,NA,,0.225546618434752,positive,6.99,0.463024272105237,NA,15,yes
1/3/2013,"longitudinal, speech perception, vocabulary",Sounds,Cardillo,2010,http://udini.proquest.com/view/predicting-the-predictors-goid:755265232/,1,7,Trials to criterion /u-y/ (non-prototypical),18,Words produced (raw),correlational,,,,,,,,,,,,,,22,0.26,negative,,,,,yes
1/3/2013,"longitudinal, speech perception, vocabulary",Sounds,Cardillo,2010,http://udini.proquest.com/view/predicting-the-predictors-goid:755265232/,1,7,Trials to criterion /u-y/ (non-prototypical),24,Words produced (raw),correlational,,,,,,,,,,,,,,20,0.37,negative,,,,,yes
1/3/2013,"longitudinal, speech perception, vocabulary",Sounds,Cardillo,2010,http://udini.proquest.com/view/predicting-the-predictors-goid:755265232/,1,7,d' /u-y/ (non-prototypical),18,Words produced (raw),correlational,,,,,,,,,,,,,,22,0.05,positive,,,,,yes
1/3/2013,"longitudinal, speech perception, vocabulary",Sounds,Cardillo,2010,http://udini.proquest.com/view/predicting-the-predictors-goid:755265232/,1,7,d' /u-y/ (non-prototypical),24,Words produced (raw),correlational,,,,,,,,,,,,,,20,0.18,positive,,,,,yes
1/3/2013,"longitudinal, speech perception",Sounds,Cardillo,2010,http://udini.proquest.com/view/predicting-the-predictors-goid:755265232/,1,7,d' /u-y/ (non-prototypical),11,d' /u-y/ (non-prototypical),correlational,,,,,,,,,,,,,,20,0.19,positive,,,,,yes
1/3/2013,"longitudinal, speech perception",Sounds,Cardillo,2010,http://udini.proquest.com/view/predicting-the-predictors-goid:755265232/,1,7,Trials to criterion /u-y/ (non-prototypical),11,Trials to criterion /u-y/ (non-prototypical),correlational,,,,,,,,,,,,,,20,0.34,positive,,,,,yes
1/3/2013,"concurrent, speech perception, non-linguistic",Sounds,Cardillo,2010,http://udini.proquest.com/view/predicting-the-predictors-goid:755265232/,1,10.5,low-low vs. high-high d' /u-y/ ,60,Music,contrast,"Classified as ""low-low"" within .4SD of the overall group means and less than 60% increase between 7 and 11 months - meaning that they remained rather low; and ""high-high"" if they scored >.7SD above the group mean at 7 and remained within 50% of their score at 11m - meaning they remained rather high. Not shown here, but reported, are results for a group of low-high, characterized by low values at 7 months increasing to 11months.",9,8,,,,,0.56,0.67,0.19,0.14,0.15829979004854,NA,17,0.328196973463475,positive,0.11,0.694884054907909,NA,15,yes
1/3/2013,"longitudinal, auditory processing, vocabulary",RAP,Choudhury,2007,10.1111/j.1467-7687.2007.00546.x,1,7.5,MMN,12,CDI,correlational,,,,,,,,,,,,,,34,0.355,positive,,,,,yes
1/3/2013,"longitudinal, speech perception, vocabulary",Sounds,Conboy,2005,10.1080/15475441.2005.9671948,1,11,d' /t-d/ (non-native),11,Words understood (raw),correlational,,,,,,,,,,,,,,23,-0.37,positive,,,,,yes
1/3/2013,"longitudinal, speech perception, vocabulary",Sounds,Conboy,2005,10.1080/15475441.2005.9671948,1,7,d' /t-th/ (native) minus d' /d-t/ (non-native),11,Words understood (raw),correlational,,,,,,,,,,,,,,10,0.49,positive,,,,,yes
1/3/2013,"Concurrent, speech perception",Sounds,Conboy,2005,10.1080/15475441.2005.9671948,1,7,d' native /t-th/,7,d' non-native /d-t/,correlational,,,,,,,,,,,,,,16,-0.481,negative,,,,,yes
1/3/2013,"longitudinal, speech perception, vocabulary",Sounds,Conboy,2008,10.1037/a0012975,1,11,Number of conditioning trials,11,Words understood (raw),correlational,,,,,,,,,,,,,,17,0.05,negative,,,,,yes
