"","paper_key","year","expt_num","N","age_mean..months.","age_min","age_max","CDI_prod_mean","N_AFC","number.of.trials","number.of.repeats.of.the.object","familiarization.play.time","DV.type","NN.or.NF","stimulus","question","d","M_experimental","M_baseline","SD","t","df","X..langs","r_age","r_vocab","Notes","include.in.basic.analysis.","exclusion.reason","CHECKED","OLD","d_by_t","d_by_M","d_calculate","d_error","d_var"
"45","bion2012",2012,"2",22,18,18.8,19.3,NA,2,8,"4","","ET","NF","","Where is the X?",NA,0.52,0.5,0.14,0.59,21,1,NA,0.12,"",1,"",NA,NA,0.12578842264981,0.142857142857143,0.12578842264981,NA,0.0910888946280992
"46","bion2012",2012,"2",25,24,24.2,25.7,NA,2,8,"4","","ET","NF","","Where is the X?",NA,0.65,0.5,0.13,5.34,24,1,NA,0.57,"",1,"",NA,NA,1.068,1.15384615384615,1.068,NA,0.09140624
"47","bion2012",2012,"2",20,30,30,31,NA,2,8,"4","","ET","NF","","Where is the X?",NA,0.68,0.5,0.14,5.9,19,1,NA,0.32,"",1,"",NA,NA,1.31928010672488,1.28571428571429,1.31928010672488,NA,0.12175625
"48","byers2009",2009,"1",16,17,17.8,18.2,76,2,6,"5","FF and FN trials","ET","NF","","Look at the X, X’, ‘Find the X, X’, and ‘Where is the X, X’",0.66,0.12,0,0.18,2.63,15,1,NA,NA,"No significant difference between monolingual and bilingual. All the effects are caused by the trilinguals not showing ME. Surprising differences in vocabulary, with trilinguals having an English productive vocabulary twice as large as that of bilinguals. BH&W used one-tailed tests to show that children were above chance in the FF trials. Participants are still not reliably looking at the novel object after hearing a novel word, but they are decreasing their tendency to look at the familiar object instead. W&BH use difference scores between baseline and poslabeling windows, and not absolute looking time after labeling against chance level as their DV. Eleven additional infants were rejected. r_vocab: B=−.048, average for monolingual, bilingual, and trilingual. No correlation presented separately for each language group. BUT: can't calculate r because don't have SD for CDI",1,"",NA,NA,0.6575,0.666666666666667,0.66,0,0.13180625
"49","evey1998",1998,"1",12,25,24,27,367,2,4,"","","FC","NF","","`Do you know what a dax (or some other
test word) is ? One of these is a dax'. Pictures were then turned over and the
experimenter said, `Find the dax'",NA,0.81,0.5,0.21,NA,NA,1,NA,NA,"",1,"",NA,NA,NA,1.47619047619048,1.47619047619048,NA,0.212065381708239
"50","evey1998",1998,"1",12,25,24,27,367,2,4,"","","FC","NF","","`Do you know what a dax (or some other
test word) is ? One of these is a dax'. Pictures were then turned over and the
experimenter said, `Find the dax'",NA,0.66,0.5,0.22,NA,NA,1,NA,NA,"NFFF trials first",1,"",NA,NA,NA,0.727272727272727,0.727272727272727,NA,0.177685950413223
"51","evey1998",1998,"1",8,25,24,27,367,2,4,"","","FC","NF","","`Do you know what a dax (or some other
test word) is ? One of these is a dax'. Pictures were then turned over and the
experimenter said, `Find the dax'",NA,0.83,0.5,0.19,NA,NA,1,NA,NA,"",1,"",NA,NA,NA,1.73684210526316,1.73684210526316,NA,0.344269390581717
"52","evey1998",1998,"1",8,25,24,27,367,2,4,"","","FC","NF","","`Do you know what a dax (or some other
test word) is ? One of these is a dax'. Pictures were then turned over and the
experimenter said, `Find the dax'",NA,0.9,0.5,0.2,NA,NA,1,NA,NA,"NFFF trials first",1,"",NA,NA,NA,2,2,NA,0.375
"53","evey1998",1998,"3",12,25,24,27,357,2,4,"","","FC","NF","","`Do you know what a dax (or some other
test word) is ? One of these is a dax'. Pictures were then turned over and the
experimenter said, `Find the dax'",NA,0.88,0.5,0.25,NA,NA,1,NA,NA," strong positive non-contingent feedback (""You're right!)",1,"",NA,NA,NA,1.52,1.52,NA,0.2148
"54","evey1998",1998,"3",12,25,24,27,357,2,4,"","","FC","NF","","`Do you know what a dax (or some other
test word) is ? One of these is a dax'. Pictures were then turned over and the
experimenter said, `Find the dax'",NA,0.84,0.5,0.18,NA,NA,1,NA,NA,"NFFF trials first, strong positive non-contingent feedback (""You're right!)",1,"",NA,NA,NA,1.88888888888889,1.88888888888889,NA,0.240997942386831
